113,54166666666667
114,38802083333333
117,60416666666667
119,63541666666667
127,76041666666667
118,95833333333334
112,86458333333333
113,7109375
118,95833333333334
123,02083333333334
121,49739583333334
116,25
119,12760416666667
125,8984375
130,29947916666666
132,33072916666669
133,0078125
131,65364583333334
130,9765625
132,83854166666669
135,88541666666669
138,0859375
142,65625
146,2109375
149,59635416666669
151,96614583333334
154,16666666666669
159,4140625
165,67708333333334
171,77083333333334
176,84895833333334
179,89583333333334
182,09635416666669
185,3125
189,71354166666669
192,59114583333334
195,29947916666669
201,5625
200,546875
196,14583333333334
196,31510416666669
188,02083333333334
183,45052083333334
183,7890625
180,57291666666669
177,1875
172,78645833333334
168,5546875
162,63020833333334
159,75260416666669
154,16666666666669
153,48958333333334
150,2734375
150,2734375
147,734375
147,2265625
144,1796875
144,6875
139,609375
139,27083333333334
136,22395833333334
131,9921875
132,83854166666669
141,30208333333334
146,38020833333334
150,10416666666669
155,859375
157,890625
163,81510416666669
170,41666666666669
172,6171875
176,6796875
181,25
185,8203125
191,40625
197,16145833333334
203,59375
200,546875
203,76302083333334
205,45572916666669
207,65625
210,02604166666669
216,96614583333334
218,65885416666669
209,85677083333334
206,30208333333334
202,91666666666669
197,16145833333334
191,74479166666669
182,60416666666669
173,6328125
172,95572916666669
170,41666666666669
164,66145833333334
160,9375
157,890625
153,99739583333334
150,44270833333334
148,41145833333334
146,71875
146,88802083333334
135,71614583333334
125,72916666666667
120,3125
117,60416666666667
120,3125
125,8984375
136,22395833333334
146,71875
152,13541666666669
156,02864583333334
157,72135416666669
151,96614583333334
155,859375
151,2890625
151,796875
139,27083333333334
135,37760416666669
137,91666666666669
150,78125
152,13541666666669
157,3828125
164,32291666666669
167,5390625
165,84635416666669
176,84895833333334
179,7265625
184,12760416666669
190,22135416666669
198,17708333333334
202,40885416666669
198,17708333333334
196,31510416666669
194,62239583333334
189,71354166666669
183,95833333333334
